Priority,Race_ID,Competition,Detected_Duration_s,Duration_Frames,Confidence_Start,Confidence_Finish,Status,Issue_Description,Review_Status,Corrected_Duration_s,Corrected_Start_Frame,Corrected_Finish_Frame,Reviewer_Notes,Review_Date
1,Speed_finals_Villars_2024_race002,Villars_2024,1.27,38,1.0,1.0,SUSPICIOUS - TOO SHORT,CRITICAL: Near-zero duration,Pending,,,,,
1,Speed_finals_Villars_2024_race013,Villars_2024,2.53,76,1.0,0.44,SUSPICIOUS - TOO SHORT,CRITICAL: Near-zero duration,Completed,5.0,0,150,,2025-11-17 03:27:24
1,Speed_finals_Villars_2024_race015,Villars_2024,-2.57,-77,1.0,1.0,SUSPICIOUS - TOO SHORT,CRITICAL: Negative duration,Pending,,,,,
1,Speed_finals_Villars_2024_race023,Villars_2024,0.1,3,1.0,1.0,SUSPICIOUS - TOO SHORT,CRITICAL: Near-zero duration,Pending,,,,,
2,Speed_finals_Seoul_2024_race022,Seoul_2024,4.03,121,1.0,0.44,SUSPICIOUS - TOO SHORT,Too short (below world record),Pending,,,,,
2,Speed_finals_Seoul_2024_race023,Seoul_2024,4.3,129,1.0,0.54,SUSPICIOUS - TOO SHORT,Too short (below world record),Pending,,,,,
2,Speed_finals_Chamonix_2024_race010,Chamonix_2024,3.37,101,1.0,1.0,SUSPICIOUS - TOO SHORT,Too short (below world record),Pending,,,,,
2,Speed_finals_Chamonix_2024_race013,Chamonix_2024,3.97,119,1.0,0.43,SUSPICIOUS - TOO SHORT,Too short (below world record),Pending,,,,,
2,Speed_finals_Chamonix_2024_race024,Chamonix_2024,4.4,132,1.0,1.0,SUSPICIOUS - TOO SHORT,Too short (below world record),Pending,,,,,
2,Speed_finals_Villars_2024_race019,Villars_2024,3.77,113,1.0,1.0,SUSPICIOUS - TOO SHORT,Too short (below world record),Pending,,,,,
2,Speed_finals_Innsbruck_2024_race004,Innsbruck_2024,22.0,660,1.0,1.0,SUSPICIOUS - TOO LONG,Too long (likely includes non-race footage),Pending,,,,,
2,Speed_finals_Zilina_2025_race004,Zilina_2025,25.0,750,1.0,1.0,SUSPICIOUS - TOO LONG,Too long (likely includes non-race footage),Pending,,,,,
2,Speed_finals_Zilina_2025_race005,Zilina_2025,23.0,690,1.0,1.0,SUSPICIOUS - TOO LONG,Too long (likely includes non-race footage),Pending,,,,,
2,Speed_finals_Zilina_2025_race006,Zilina_2025,25.0,750,1.0,1.0,SUSPICIOUS - TOO LONG,Too long (likely includes non-race footage),Pending,,,,,
2,Speed_finals_Zilina_2025_race007,Zilina_2025,24.0,720,1.0,1.0,SUSPICIOUS - TOO LONG,Too long (likely includes non-race footage),Pending,,,,,
2,Speed_finals_Zilina_2025_race010,Zilina_2025,22.0,660,1.0,1.0,SUSPICIOUS - TOO LONG,Too long (likely includes non-race footage),Pending,,,,,
2,Speed_finals_Zilina_2025_race013,Zilina_2025,26.0,780,1.0,1.0,SUSPICIOUS - TOO LONG,Too long (likely includes non-race footage),Pending,,,,,
2,Speed_finals_Zilina_2025_race014,Zilina_2025,37.0,1110,1.0,1.0,SUSPICIOUS - TOO LONG,Too long (likely includes non-race footage),Pending,,,,,
2,Speed_finals_Zilina_2025_race015,Zilina_2025,32.0,960,1.0,1.0,SUSPICIOUS - TOO LONG,Too long (likely includes non-race footage),Pending,,,,,
2,Speed_finals_Zilina_2025_race018,Zilina_2025,35.0,1050,1.0,1.0,SUSPICIOUS - TOO LONG,Too long (likely includes non-race footage),Pending,,,,,
2,Speed_finals_Zilina_2025_race019,Zilina_2025,41.0,1230,1.0,1.0,SUSPICIOUS - TOO LONG,Too long (likely includes non-race footage),Pending,,,,,
2,Speed_finals_Zilina_2025_race021,Zilina_2025,24.0,720,1.0,1.0,SUSPICIOUS - TOO LONG,Too long (likely includes non-race footage),Pending,,,,,
2,Speed_finals_Zilina_2025_race022,Zilina_2025,23.0,690,1.0,1.0,SUSPICIOUS - TOO LONG,Too long (likely includes non-race footage),Pending,,,,,
2,Speed_finals_Zilina_2025_race024,Zilina_2025,21.0,630,1.0,1.0,SUSPICIOUS - TOO LONG,Too long (likely includes non-race footage),Pending,,,,,
2,Speed_finals_Zilina_2025_race029,Zilina_2025,21.0,630,1.0,1.0,SUSPICIOUS - TOO LONG,Too long (likely includes non-race footage),Pending,,,,,
2,Speed_finals_Zilina_2025_race032,Zilina_2025,26.0,780,1.0,1.0,SUSPICIOUS - TOO LONG,Too long (likely includes non-race footage),Pending,,,,,
2,Speed_finals_Zilina_2025_race038,Zilina_2025,23.0,690,1.0,1.0,SUSPICIOUS - TOO LONG,Too long (likely includes non-race footage),Pending,,,,,
2,Speed_finals_Zilina_2025_race042,Zilina_2025,22.0,660,1.0,1.0,SUSPICIOUS - TOO LONG,Too long (likely includes non-race footage),Pending,,,,,
2,Speed_finals_Zilina_2025_race044,Zilina_2025,29.0,870,1.0,1.0,SUSPICIOUS - TOO LONG,Too long (likely includes non-race footage),Pending,,,,,
2,Speed_finals_Zilina_2025_race045,Zilina_2025,27.0,810,1.0,1.0,SUSPICIOUS - TOO LONG,Too long (likely includes non-race footage),Pending,,,,,
2,Speed_finals_Zilina_2025_race047,Zilina_2025,34.0,1020,1.0,1.0,SUSPICIOUS - TOO LONG,Too long (likely includes non-race footage),Pending,,,,,
2,Speed_finals_Zilina_2025_race048,Zilina_2025,24.0,720,1.0,1.0,SUSPICIOUS - TOO LONG,Too long (likely includes non-race footage),Pending,,,,,
2,Speed_finals_Zilina_2025_race051,Zilina_2025,22.0,660,1.0,1.0,SUSPICIOUS - TOO LONG,Too long (likely includes non-race footage),Pending,,,,,
2,Speed_finals_Zilina_2025_race053,Zilina_2025,21.0,630,1.0,1.0,SUSPICIOUS - TOO LONG,Too long (likely includes non-race footage),Pending,,,,,
2,Speed_finals_Zilina_2025_race055,Zilina_2025,23.0,690,1.0,1.0,SUSPICIOUS - TOO LONG,Too long (likely includes non-race footage),Pending,,,,,
2,Speed_finals_Zilina_2025_race057,Zilina_2025,22.0,660,1.0,1.0,SUSPICIOUS - TOO LONG,Too long (likely includes non-race footage),Pending,,,,,
2,Speed_finals_Zilina_2025_race061,Zilina_2025,22.0,660,1.0,1.0,SUSPICIOUS - TOO LONG,Too long (likely includes non-race footage),Pending,,,,,
2,Speed_finals_Zilina_2025_race062,Zilina_2025,22.0,660,1.0,1.0,SUSPICIOUS - TOO LONG,Too long (likely includes non-race footage),Pending,,,,,
2,Speed_finals_Zilina_2025_race063,Zilina_2025,23.0,690,1.0,1.0,SUSPICIOUS - TOO LONG,Too long (likely includes non-race footage),Pending,,,,,
2,Speed_finals_Zilina_2025_race064,Zilina_2025,25.0,750,1.0,1.0,SUSPICIOUS - TOO LONG,Too long (likely includes non-race footage),Pending,,,,,
2,Speed_finals_Zilina_2025_race066,Zilina_2025,25.0,750,1.0,1.0,SUSPICIOUS - TOO LONG,Too long (likely includes non-race footage),Pending,,,,,
3,Speed_finals_Innsbruck_2024_race001,Innsbruck_2024,19.0,570,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Innsbruck_2024_race011,Innsbruck_2024,16.0,480,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Zilina_2025_race001,Zilina_2025,19.0,570,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Zilina_2025_race002,Zilina_2025,16.0,480,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Zilina_2025_race003,Zilina_2025,16.0,480,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Zilina_2025_race008,Zilina_2025,18.0,540,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Zilina_2025_race009,Zilina_2025,16.0,480,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Zilina_2025_race011,Zilina_2025,19.0,570,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Zilina_2025_race016,Zilina_2025,19.0,570,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Zilina_2025_race017,Zilina_2025,16.0,480,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Zilina_2025_race025,Zilina_2025,19.0,570,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Zilina_2025_race026,Zilina_2025,17.0,510,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Zilina_2025_race027,Zilina_2025,17.0,510,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Zilina_2025_race028,Zilina_2025,20.0,600,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Zilina_2025_race030,Zilina_2025,20.0,600,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Zilina_2025_race031,Zilina_2025,16.0,480,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Zilina_2025_race033,Zilina_2025,18.0,540,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Zilina_2025_race034,Zilina_2025,20.0,600,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Zilina_2025_race035,Zilina_2025,18.0,540,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Zilina_2025_race036,Zilina_2025,19.0,570,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Zilina_2025_race041,Zilina_2025,20.0,600,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Zilina_2025_race043,Zilina_2025,18.0,540,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Zilina_2025_race049,Zilina_2025,18.0,540,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Zilina_2025_race050,Zilina_2025,20.0,600,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Zilina_2025_race052,Zilina_2025,20.0,600,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Zilina_2025_race054,Zilina_2025,17.0,510,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Zilina_2025_race056,Zilina_2025,16.0,480,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Zilina_2025_race058,Zilina_2025,18.0,540,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Zilina_2025_race059,Zilina_2025,17.0,510,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Zilina_2025_race065,Zilina_2025,16.0,480,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Zilina_2025_race067,Zilina_2025,19.0,570,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Zilina_2025_race068,Zilina_2025,16.0,480,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
3,Speed_finals_Zilina_2025_race069,Zilina_2025,20.0,600,1.0,1.0,SUSPICIOUS - TOO LONG,Unusually long,Pending,,,,,
